Search_method Problem Max_evals Run Score
hill_climber_cliff_score knapPI_11_20_1000_4 1000 0 0
hill_climber_cliff_score knapPI_11_20_1000_4 1000 1 0
hill_climber_cliff_score knapPI_11_20_1000_4 1000 2 1320
hill_climber_cliff_score knapPI_11_20_1000_4 1000 3 0
hill_climber_cliff_score knapPI_11_20_1000_4 1000 4 1120
hill_climber_cliff_score knapPI_13_20_1000_4 1000 0 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 1 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 2 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 3 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 4 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 0 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 1 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 2 2682
hill_climber_cliff_score knapPI_16_20_1000_4 1000 3 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 4 0
hill_climber_cliff_score knapPI_11_200_1000_4 1000 0 0
hill_climber_cliff_score knapPI_11_200_1000_4 1000 1 0
hill_climber_cliff_score knapPI_11_200_1000_4 1000 2 0
hill_climber_cliff_score knapPI_11_200_1000_4 1000 3 0
hill_climber_cliff_score knapPI_11_200_1000_4 1000 4 0
hill_climber_cliff_score knapPI_13_200_1000_4 1000 0 0
hill_climber_cliff_score knapPI_13_200_1000_4 1000 1 0
hill_climber_cliff_score knapPI_13_200_1000_4 1000 2 0
hill_climber_cliff_score knapPI_13_200_1000_4 1000 3 0
hill_climber_cliff_score knapPI_13_200_1000_4 1000 4 0
hill_climber_cliff_score knapPI_16_200_1000_4 1000 0 0
hill_climber_cliff_score knapPI_16_200_1000_4 1000 1 0
hill_climber_cliff_score knapPI_16_200_1000_4 1000 2 0
hill_climber_cliff_score knapPI_16_200_1000_4 1000 3 0
hill_climber_cliff_score knapPI_16_200_1000_4 1000 4 0
hill_climber_penalized_score knapPI_11_20_1000_4 1000 0 1400
hill_climber_penalized_score knapPI_11_20_1000_4 1000 1 1120
hill_climber_penalized_score knapPI_11_20_1000_4 1000 2 1360
hill_climber_penalized_score knapPI_11_20_1000_4 1000 3 1400
hill_climber_penalized_score knapPI_11_20_1000_4 1000 4 1400
hill_climber_penalized_score knapPI_13_20_1000_4 1000 0 890
hill_climber_penalized_score knapPI_13_20_1000_4 1000 1 872
hill_climber_penalized_score knapPI_13_20_1000_4 1000 2 907
hill_climber_penalized_score knapPI_13_20_1000_4 1000 3 889
hill_climber_penalized_score knapPI_13_20_1000_4 1000 4 890
hill_climber_penalized_score knapPI_16_20_1000_4 1000 0 2557
hill_climber_penalized_score knapPI_16_20_1000_4 1000 1 2557
hill_climber_penalized_score knapPI_16_20_1000_4 1000 2 2532
hill_climber_penalized_score knapPI_16_20_1000_4 1000 3 2453
hill_climber_penalized_score knapPI_16_20_1000_4 1000 4 2026
hill_climber_penalized_score knapPI_11_200_1000_4 1000 0 4500
hill_climber_penalized_score knapPI_11_200_1000_4 1000 1 4540
hill_climber_penalized_score knapPI_11_200_1000_4 1000 2 4120
hill_climber_penalized_score knapPI_11_200_1000_4 1000 3 4220
hill_climber_penalized_score knapPI_11_200_1000_4 1000 4 4420
hill_climber_penalized_score knapPI_13_200_1000_4 1000 0 3575
hill_climber_penalized_score knapPI_13_200_1000_4 1000 1 3602
hill_climber_penalized_score knapPI_13_200_1000_4 1000 2 3611
hill_climber_penalized_score knapPI_13_200_1000_4 1000 3 3602
hill_climber_penalized_score knapPI_13_200_1000_4 1000 4 3574
hill_climber_penalized_score knapPI_16_200_1000_4 1000 0 8715
hill_climber_penalized_score knapPI_16_200_1000_4 1000 1 8856
hill_climber_penalized_score knapPI_16_200_1000_4 1000 2 8989
hill_climber_penalized_score knapPI_16_200_1000_4 1000 3 9334
hill_climber_penalized_score knapPI_16_200_1000_4 1000 4 9732
random_search knapPI_11_20_1000_4 1000 0 1120
random_search knapPI_11_20_1000_4 1000 1 1060
random_search knapPI_11_20_1000_4 1000 2 1200
random_search knapPI_11_20_1000_4 1000 3 1140
random_search knapPI_11_20_1000_4 1000 4 1080
random_search knapPI_13_20_1000_4 1000 0 0
random_search knapPI_13_20_1000_4 1000 1 800
random_search knapPI_13_20_1000_4 1000 2 0
random_search knapPI_13_20_1000_4 1000 3 0
random_search knapPI_13_20_1000_4 1000 4 596
random_search knapPI_16_20_1000_4 1000 0 1886
random_search knapPI_16_20_1000_4 1000 1 2498
random_search knapPI_16_20_1000_4 1000 2 0
random_search knapPI_16_20_1000_4 1000 3 0
random_search knapPI_16_20_1000_4 1000 4 0
random_search knapPI_11_200_1000_4 1000 0 0
random_search knapPI_11_200_1000_4 1000 1 0
random_search knapPI_11_200_1000_4 1000 2 0
random_search knapPI_11_200_1000_4 1000 3 0
random_search knapPI_11_200_1000_4 1000 4 0
random_search knapPI_13_200_1000_4 1000 0 0
random_search knapPI_13_200_1000_4 1000 1 0
random_search knapPI_13_200_1000_4 1000 2 0
random_search knapPI_13_200_1000_4 1000 3 0
random_search knapPI_13_200_1000_4 1000 4 0
random_search knapPI_16_200_1000_4 1000 0 0
random_search knapPI_16_200_1000_4 1000 1 0
random_search knapPI_16_200_1000_4 1000 2 0
random_search knapPI_16_200_1000_4 1000 3 0
random_search knapPI_16_200_1000_4 1000 4 0
